type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,04436P,國巨元富1B售02,TW22Z04436P1,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04437P,創意元富18售02,TW22Z04437P9,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04438P,滬深2X國票1A售02,TW22Z04438P7,2022/02/25,上市,,RWBCPE
上市認購(售)權證,04439P,國喬國票19售02,TW22Z04439P5,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04440P,大成鋼國票19售03,TW22Z04440P3,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04441P,榮運國票18售02,TW22Z04441P1,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04442P,大立光國票19售03,TW22Z04442P9,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04443P,聯陽國票19售03,TW22Z04443P7,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04444P,創意國票19售01,TW22Z04444P5,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04445P,康舒國票19售01,TW22Z04445P2,2022/02/25,上市,,RWSCPE
上市認購(售)權證,044469,欣興元大19購01,TW21Z0444699,2021/09/07,上市,,RWSCCA
上市認購(售)權證,04446P,矽創國票19售04,TW22Z04446P0,2022/02/25,上市,,RWSCPE
上市認購(售)權證,044471,景碩元大19購01,TW21Z0444715,2021/09/07,上市,,RWSCCA
上市認購(售)權證,044478,南電元大19購01,TW21Z0444780,2021/09/07,上市,,RWSCCA
上市認購(售)權證,04447P,台積電富邦19售07,TW22Z04447P8,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04448P,台積電富邦1B售09,TW22Z04448P6,2022/02/25,上市,,RWSCPE
上市認購(售)權證,04449P,聯發科日盛18售04,TW22Z04449P4,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04450P,長榮元富1B售08,TW22Z04450P2,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04451P,華航凱基18售12,TW22Z04451P0,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04452P,台積電群益1A售06,TW22Z04452P8,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04453P,華航群益18售08,TW22Z04453P6,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04454P,欣興群益18售07,TW22Z04454P4,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04455P,南電群益19售05,TW22Z04455P1,2022/03/01,上市,,RWSCPE
上市認購(售)權證,04456P,臺股指群益18售19,TW22Z04456P9,2022/03/01,上市,,RWICPE
上市認購(售)權證,044574,聯電第一19購01,TW21Z0445746,2021/09/08,上市,,RWSCCA
上市認購(售)權證,044577,聯電凱基19購01,TW21Z0445779,2021/09/08,上市,,RWSCCA
上市認購(售)權證,04457P,臺股指群益18售20,TW22Z04457P7,2022/03/01,上市,,RWICPE
上市認購(售)權證,04458P,臺股指群益18售21,TW22Z04458P5,2022/03/01,上市,,RWICPE
上市認購(售)權證,04459P,台灣50麥證18售02,TW22Z04459P3,2022/03/01,上市,,RWBCPE
上市認購(售)權證,04460P,臺股指麥證18售11,TW22Z04460P1,2022/03/01,上市,,RWICPE
上市認購(售)權證,04461P,欣興元大18售20,TW22Z04461P9,2022/03/01,上市,,RWSCPE
上市認購(售)權證,044622,長榮航元大19購01,TW21Z0446223,2021/09/08,上市,,RWSCCA
上市認購(售)權證,044623,國泰金元大19購01,TW21Z0446231,2021/09/08,上市,,RWSCCA
上市認購(售)權證,04462P,臺股指元大1B售11,TW22Z04462P7,2022/03/01,上市,,RWICPE
上市認購(售)權證,044634,道瓊反群益19購01,TW21Z0446348,2021/09/08,上市,,RWBCCA
